OTU_ID	M0	M1.5	M10	M11	M12	M13	M14	M15	M16	M17	M19	M20	M21	M22	M3.1	M3.2	M4	M5	M6	M7	M8.1	M8.2	M9	MEB	MSB
ID0000164M	1	1	1	0	1	0	2	3	30	10	55	70	0	37	1	6	0	3	0	2	1	0	0	393	0
ID0000166M	12	7	80	19	18	15	6	5	1	0	0	0	0	0	10	75	116	18	67	66	59	59	71	2023	1863
ID0000168M	0	0	2	1	2	0	1	0	0	5	5	4	0	0	0	0	0	2	0	0	0	0	0	0	0
ID0000171M	165	121	8	2	4	0	3	1	4	10	11	4	2	112	148	228	249	220	24	9	6	16	4	174	0
ID0000172M	2148	4371	370	406	337	209	161	133	377	258	296	418	838	171	3289	2762	3158	1404	1791	2223	1955	3034	1130	136	0
ID0000174M	5043	1540	270	151	108	66	59	63	30	22	41	21	33	44	1343	1316	616	610	551	1083	310	452	310	305	0
ID0000175M	396	211	1284	3384	2123	2329	2091	2205	3020	2805	2765	1828	2085	179	372	445	822	4248	2703	1962	2045	2069	2503	0	0
ID0000177M	0	0	8	175	424	1506	1723	2725	3829	3130	3611	2524	1988	319	0	0	0	0	0	0	1	1	2	19	0
ID0000178M	29	31	4175	3991	3096	2019	1373	1333	666	360	305	254	143	6	147	112	794	3089	4624	4491	4479	4582	5327	0	0
ID0000179M	19	14	0	12	29	66	90	140	578	1230	1629	1615	2308	302	5	11	14	7	2	4	1	0	0	49	0
ID0000180M	3	2	325	437	700	429	548	567	443	355	316	299	334	21	0	3	2	3	20	95	188	177	254	2	0
ID0000183M	311	173	8	5	8	1	3	0	1	0	16	0	0	58	846	859	942	464	38	41	30	26	30	0	0
ID0000184M	0	0	1	4	2	1	0	2	0	0	11	5	0	40	5	5	3	5	2	4	6	2	3	6	0
ID0000185M	593	324	41	1	0	10	0	1	7	0	0	0	0	0	268	375	52	113	30	62	115	9	31	0	1
ID0000186M	3050	2099	340	213	251	207	211	172	159	71	121	76	79	44	3426	3897	1885	594	418	286	308	350	283	190	0
ID0000188M	466	541	398	294	195	138	119	110	144	123	181	123	241	2055	1446	881	1189	1231	440	401	410	483	629	44	0
ID0000189M	165	181	2709	626	691	414	341	309	601	913	1286	887	1709	342	635	984	1680	3708	4316	3644	6793	6579	5088	69	0
ID0000190M	0	0	15	68	144	538	807	1073	5940	7333	12291	10838	7581	1123	1	3	6	12	6	8	11	10	20	61	0
ID0000193M	0	0	0	26	53	80	218	351	326	262	135	178	176	25	0	0	1	2	0	0	0	0	0	0	0
ID0000194M	3349	2007	164	370	274	237	216	197	238	225	244	291	206	252	5146	4288	4214	2247	233	148	82	174	263	145	0
ID0000196M	0	0	1	46	137	549	705	1255	4038	4265	6991	4935	5305	387	0	2	0	2	0	0	0	0	1	40	0
ID0000197M	0	0	0	0	0	0	1	8	267	828	1130	896	825	31	0	0	0	0	0	0	0	0	0	0	0
ID0000198M	0	0	12	4	2	1	1	2	43	56	167	250	172	2412	7	5	5	5	6	9	12	11	14	70	0
ID0000200M	32	12	86	567	500	325	284	288	419	474	640	412	88	20	76	80	125	142	16	10	11	2	95	0	0
ID0000201M	0	0	1	1	3	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID0000203M	2	1	1395	357	65	23	14	3	21	13	34	15	0	105	7	5	58	1045	4089	2460	1877	1988	2047	0	0
ID0000206M	276	197	123	50	44	16	5	5	1	6	4	11	0	37	573	614	812	1332	701	388	179	247	285	256	0
ID0000207M	0	0	0	0	0	1	0	2	1	5	11	22	0	517	0	0	0	0	0	0	0	0	0	15	0
ID0000208M	200	1090	0	5	30	18	48	3	24	0	0	2	187	93	1775	605	1056	366	4	223	318	357	380	12	0
ID0000212M	0	1	5	17	47	101	133	137	807	1199	2124	1550	1781	614	3	6	0	3	3	1	16	6	5	0	0
ID0000213M	34	18	365	660	386	354	268	291	390	518	745	410	677	95	336	525	650	2295	704	287	120	213	520	103	0
ID0000214M	0	0	1	5	1	13	18	25	73	118	128	349	74	131	0	0	0	0	0	0	0	0	0	0	0
ID0000215M	0	0	0	3	0	1	0	0	0	0	0	1	37	93	2	3	4	5	9	2	8	0	10	43	83
ID0000220M	22	8	0	4	2	0	0	0	1	0	16	4	0	0	28	45	41	53	53	4	3	11	13	42	0
ID0000221M	0	0	0	0	0	0	0	0	0	0	0	0	0	0	802	0	0	0	0	0	0	0	0	0	0
ID0000222M	0	0	0	0	0	1	0	2	2	12	36	59	67	35	0	0	0	0	0	0	0	0	0	0	0
ID0000223M	204	150	695	264	244	110	78	76	114	118	145	132	382	127	262	191	423	186	129	199	419	294	563	837	0
ID0000224M	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	1	0	0	0	0	0	1	0	0	33
ID0000226M	1	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	1	1	151	0
